Identifier,Company Name_x,Country of Exchange_x,"Debt to Equity Ratio (DER)
In the last 5 FY",Unnamed: 4_x,Unnamed: 5_x,Unnamed: 6_x,Unnamed: 7_x,Company Name_y,Country of Exchange_y,"ESG Score
In the last 5 FY",Unnamed: 4_y,Unnamed: 5_y,Unnamed: 6_y,Unnamed: 7_y,"Revenue - Total
(IDR)
In the last 5 FY",Unnamed: 9_x,Unnamed: 10_x,Unnamed: 11_x,Unnamed: 12_x,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,"Shares - Outstanding - Total
In the last 5 FY",Unnamed: 9_y,Unnamed: 10_y,Unnamed: 11_y,Unnamed: 12_y,"Total Assets
(IDR)
In the last 5 FY",Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,"Total Liabilities
(IDR)
In the last 5 FY",Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,"ROA - %
In the last 5 FY",Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
AADI.JK,PT Adaro Andalan Indonesia Tbk,Indonesia,0.44,0.2,0.11,0.15,,PT Adaro Andalan Indonesia Tbk,Indonesia,,,,,,"85,592,074,380,000.00","91,067,706,160,000.00","120,254,147,145,000.00","55,035,480,750,000.00",,PT Adaro Andalan Indonesia Tbk,Indonesia,"8,475.00",,,,,"7,786,891,760.00","7,786,891,760.00","7,786,891,760.00","7,786,891,760.00",,"96,421,867,220,000.00","108,733,591,820,000.00","123,992,128,590,000.00","88,219,042,500,000.00",,"42,303,441,840,000.00","34,984,398,540,000.00","53,821,746,550,000.00","36,604,830,000,000.00",,18.00%,19.20%,51.90%,,
AALI.JK,Astra Agro Lestari Tbk PT,Indonesia,0.14,0.18,0.18,0.27,0.29,Astra Agro Lestari Tbk PT,Indonesia,43.4,42.02,43.24,36.84,37.81,"21,815,035,000,000.00","20,745,473,000,000.00","21,828,591,000,000.00","24,322,048,000,000.00","18,807,043,000,000.00",Astra Agro Lestari Tbk PT,Indonesia,"6,200.00","7,025.00","8,025.00","9,500.00","12,325.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","28,793,225,000,000.00","28,846,243,000,000.00","29,249,340,000,000.00","30,399,906,000,000.00","27,781,231,000,000.00","5,591,163,000,000.00","6,280,237,000,000.00","7,006,119,000,000.00","9,228,733,000,000.00","8,533,437,000,000.00",5.90%,5.20%,8.10%,,5.30%
ABBA.JK,Mahaka Media Tbk PT,Indonesia,,,3.55,0.62,,Mahaka Media Tbk PT,Indonesia,35.62,33.3,32.14,,,"208,646,955,109.00","200,775,734,875.00","170,217,448,535.00","168,792,972,085.00","158,607,888,337.00",Mahaka Media Tbk PT,Indonesia,26,52,151,281.27,65.15,"3,935,892,857.00","3,935,892,857.00","3,935,892,857.00","3,467,572,431.85","3,467,572,431.85","242,927,394,937.00","271,136,485,860.00","388,884,533,390.00","524,632,899,688.00","221,650,737,019.00","356,643,915,558.00","376,928,581,607.00","359,466,191,290.00","359,762,454,698.00","325,359,955,177.00",4.80%,-14.10%,-6.00%,-9.00%,-14.40%
ABDA.JK,Asuransi Bina Dana Arta Tbk PT,Indonesia,,,,,,Asuransi Bina Dana Arta Tbk PT,Indonesia,20.76,32.01,28.81,,,"939,318,884,000.00","865,568,075,000.00","786,055,426,000.00","802,927,141,000.00","923,810,855,000.00",Asuransi Bina Dana Arta Tbk PT,Indonesia,"3,800.00","5,800.00","6,700.00","5,850.00","5,575.00","620,806,680.00","620,806,680.00","620,806,680.00","620,806,680.00","620,806,680.00","2,751,906,616,000.00","2,664,450,707,000.00","2,472,105,924,000.00","2,495,890,568,000.00","2,477,781,648,000.00","1,192,828,879,000.00","1,115,590,529,000.00","966,617,847,000.00","983,787,506,000.00","1,090,545,646,000.00",3.10%,3.30%,4.80%,7.70%,7.30%
ABFII.JK,Reksa Dana Abf Indonesia Bond,Indonesia,,,,,,Reksa Dana Abf Indonesia Bond,Indonesia,,,,,,,,,,,Reksa Dana Abf Indonesia Bond,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,ABM Investama Tbk PT,Indonesia,1.15,1.37,1.52,1.09,2.67,ABM Investama Tbk PT,Indonesia,77.03,50.06,49.42,,,"19,310,131,184,860.00","22,984,717,388,120.00","22,499,633,529,615.00","14,561,583,004,500.00","8,513,959,559,040.00",ABM Investama Tbk PT,Indonesia,"3,540.00","3,400.00","3,280.00","1,420.00",760,"2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","33,715,816,276,180.00","33,202,210,143,525.00","30,858,835,348,660.00","14,773,034,265,750.00","11,614,409,993,160.00","20,083,484,999,540.00","21,518,529,486,560.00","21,247,116,703,285.00","9,687,364,348,500.00","9,343,452,011,400.00",7.30%,18.00%,28.80%,26.60%,-2.80%
ACES.JK,Aspirasi Hidup Indonesia Tbk PT,Indonesia,0.15,0.15,0.13,0.16,0.17,Aspirasi Hidup Indonesia Tbk PT,Indonesia,31.7,25.13,28.52,29.98,18.96,"8,582,510,248,665.00","7,620,153,096,871.00","6,762,803,342,146.00","6,543,362,698,900.00","7,412,766,872,302.00",Aspirasi Hidup Indonesia Tbk PT,Indonesia,790,720,496,"1,280.00","1,715.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","8,191,411,810,234.00","7,794,495,253,759.00","7,328,729,306,800.00","7,171,138,470,214.00","7,247,063,894,294.00","1,679,077,942,666.00","1,570,107,181,450.00","1,312,184,243,636.00","1,592,158,192,660.00","2,024,821,339,896.00",13.60%,12.70%,11.30%,11.70%,13.30%
ACRO.JK,Samcro Hyosung Adilestari PT Tbk,Indonesia,0.24,0.8,0.54,0.52,1.57,Samcro Hyosung Adilestari PT Tbk,Indonesia,,,,,,"43,724,769,550.00","38,699,524,704.00","51,505,696,772.00","41,762,660,313.00","29,591,947,216.00",Samcro Hyosung Adilestari PT Tbk,Indonesia,109,,,,,"3,469,162,479.00","2,775,310,591.00","2,468,859,891.00","3,469,138,591.00","3,469,138,591.00","244,224,132,587.00","106,930,076,246.00","84,257,925,986.00","81,253,027,837.00","53,329,815,848.00","52,110,236,875.00","50,250,207,042.00","32,626,759,970.00","31,985,406,579.00","37,338,692,998.00",6.80%,7.60%,4.30%,4.80%,
ACST.JK,Acset Indonusa Tbk PT,Indonesia,,0.11,0.03,0.05,3.18,Acset Indonusa Tbk PT,Indonesia,42.57,39.98,38.5,,,"3,172,312,000,000.00","2,349,638,000,000.00","1,036,870,000,000.00","1,494,671,000,000.00","1,204,429,000,000.00",Acset Indonusa Tbk PT,Indonesia,86,136,157,210,440,"12,675,160,000.00","12,675,160,000.00","12,675,160,000.00","12,675,160,000.00","6,425,160,000.00","2,812,734,000,000.00","2,608,782,000,000.00","2,111,024,000,000.00","2,478,713,000,000.00","3,055,106,000,000.00","2,953,727,000,000.00","2,212,725,000,000.00","1,440,027,000,000.00","1,362,982,000,000.00","2,731,074,000,000.00",-16.10%,-9.00%,-18.40%,-23.60%,-19.30%
ADCP.JK,Adhi Commuter Properti Tbk PT,Indonesia,0.47,0.46,0.32,0.44,0.23,Adhi Commuter Properti Tbk PT,Indonesia,,,,,,"300,316,739,862.00","651,958,903,770.00","592,687,713,783.00","563,688,066,425.00","977,221,009,504.00",Adhi Commuter Properti Tbk PT,Indonesia,50,50,67,,,"22,222,222,200.00","22,222,222,200.00","22,222,222,200.00","22,666,666,600.00","22,666,666,600.00","6,821,060,839,225.00","6,643,815,019,188.00","6,321,024,480,878.00","5,978,673,938,137.00","4,676,206,827,347.00","4,204,094,278,782.00","4,069,652,222,545.00","3,863,027,035,700.00","3,878,478,491,633.00","2,706,372,007,477.00",0.70%,2.00%,1.90%,2.60%,3.30%
