Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
ROTI.JK,Nippon Indosari Corpindo Tbk PT,Indonesia,,,,,,"3,932,169,542,456.00","3,820,532,634,926.00","3,935,182,048,668.00","3,287,623,237,457.00","3,212,034,546,032.00"
GOLD.JK,Visi Telekomunikasi Infrastruktur Tbk PT,Indonesia,,,,,,"52,041,658,000.00","47,726,683,000.00","47,421,904,000.00","44,260,335,000.00","39,803,327,000.00"
SKYB.JK,Northcliff Citranusa Indonesia Tbk PT,Indonesia,,,,,,"4,255,450,727.00","2,010,677,444.00",0.00,0.00,"621,656,273,759.00"
BJBR.JK,Bank Pembangunan Daerah Jawa Barat Dan Banten Tbk PT,Indonesia,,,,,,"8,338,376,000,000.00","8,344,332,000,000.00","9,445,386,000,000.00","9,093,193,000,000.00","7,624,370,000,000.00"
IPOL.JK,PT Indopoly Swakarsa Industry Tbk,Indonesia,,,,,,"3,409,892,509,730.00","2,984,518,144,690.00","3,544,175,061,570.00","3,411,554,281,500.00","2,778,347,604,240.00"
BUVA.JK,Bukit Uluwatu Villa Tbk PT,Indonesia,,,,,,"355,259,333,593.00","371,284,754,257.00","225,866,861,630.00","61,422,461,126.00","67,905,888,011.00"
ICBP.JK,Indofood CBP Sukses Makmur Tbk PT,Indonesia,53.98,57.62,49.32,29.32,35.49,"72,597,188,000,000.00","67,909,901,000,000.00","64,797,516,000,000.00","56,803,733,000,000.00","46,641,048,000,000.00"
HRUM.JK,Harum Energy Tbk PT,Indonesia,,,,,,"20,844,046,781,520.00","14,248,385,634,300.00","14,077,574,279,175.00","4,790,501,117,250.00","2,215,779,419,880.00"
TBIG.JK,Tower Bersama Infrastructure Tbk PT,Indonesia,47.14,42.31,26.44,27.94,25.27,"6,867,399,000,000.00","6,640,645,000,000.00","6,524,369,000,000.00","6,179,584,000,000.00","5,327,689,000,000.00"
KRAS.JK,Krakatau Steel (Persero) Tbk PT,Indonesia,,,,,,"15,359,465,730,000.00","22,383,837,360,000.00","34,842,766,145,000.00","30,163,716,000,000.00","19,005,344,280,000.00"
APLN.JK,Agung Podomoro Land Tbk PT,Indonesia,,,,,,"5,576,757,087,000.00","4,676,651,899,000.00","8,663,824,988,000.00","4,256,245,345,000.00","4,956,324,696,000.00"
