Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
ROTI.JK,Nippon Indosari Corpindo Tbk PT,Indonesia, 0.27 , 0.27 , 0.20 , 0.19 , 0.16 
GOLD.JK,Visi Telekomunikasi Infrastruktur Tbk PT,Indonesia, -   , 0.01 , 0.01 , 0.01 , 0.00 
SKYB.JK,Northcliff Citranusa Indonesia Tbk PT,Indonesia,,, 0.01 ,, 0.06 
BJBR.JK,Bank Pembangunan Daerah Jawa Barat Dan Banten Tbk PT,Indonesia, 1.99 , 1.92 , 1.80 , 1.39 , 1.42 
IPOL.JK,PT Indopoly Swakarsa Industry Tbk,Indonesia, 0.89 , 0.45 , 0.40 , 0.42 , 0.40 
BUVA.JK,Bukit Uluwatu Villa Tbk PT,Indonesia, 0.37 , 0.65 ,, 30.97 , 2.63 
ICBP.JK,Indofood CBP Sukses Makmur Tbk PT,Indonesia, 0.68 , 0.71 , 0.80 , 0.76 , 0.63 
HRUM.JK,Harum Energy Tbk PT,Indonesia, 0.17 , 0.12 , 0.00 , 0.15 , 0.01 
TBIG.JK,Tower Bersama Infrastructure Tbk PT,Indonesia, 3.03 , 2.39 , 2.69 , 3.01 , 2.61 
KRAS.JK,Krakatau Steel (Persero) Tbk PT,Indonesia, 3.56 , 3.07 , 3.30 , 4.14 , 5.39 
APLN.JK,Agung Podomoro Land Tbk PT,Indonesia, 0.41 , 0.56 , 0.68 , 0.96 , 0.88 
MIDI.JK,Midi Utama Indonesia Tbk PT,Indonesia, 0.15 , 0.16 , 1.00 , 1.33 , 1.63 
WINS.JK,Wintermar Offshore Marine Tbk PT,Indonesia, 0.13 , 0.09 , 0.11 , 0.17 , 0.33 
BRMS.JK,Bumi Resources Minerals Tbk PT,Indonesia, 0.10 , 0.07 , 0.07 , 0.05 , 0.06 
BUKK.JK,Bukaka Teknik Utama Tbk PT,Indonesia, 0.53 , 0.56 , 0.34 , 0.20 , 0.30 
BSIM.JK,Bank Sinarmas Tbk PT,Indonesia, 0.18 , 0.21 , 0.08 , 0.01 , 0.18 
MFMI.JK,Multifiling Mitra Indonesia Tbk PT,Indonesia, 2.40 , 1.43 , 1.63 , 1.81 , 1.54 
EMDE.JK,Megapolitan Developments Tbk PT,Indonesia, 0.23 , 0.71 , 0.60 , 0.58 , 1.79 
MBTO.JK,Martina Berto Tbk PT,Indonesia, 0.47 , 0.46 , 0.40 , 0.32 , 0.33 
GIAA.JK,Garuda Indonesia (Persero) Tbk PT,Indonesia,,,,,
MBSS.JK,Mitrabahtera Segara Sejati Tbk PT,Indonesia, 0.10 , 0.14 , 0.06 , -   , 0.16 
SRAJ.JK,Sejahteraraya Anugrahjaya Tbk PT,Indonesia, 0.91 , 0.89 , 0.91 , 0.44 , 0.61 
HDFA.JK,Radana Bhaskara Finance Tbk PT,Indonesia, 4.47 , 2.93 , 1.52 , 0.88 , 0.39 
BULL.JK,Buana Lintas Lautan Tbk PT,Indonesia, 0.85 , 1.07 , 1.57 , 3.70 , 1.23 
JAWA.JK,Jaya Agra Wattie Tbk PT,Indonesia, 1.58 , 2.43 , 26.91 , 13.74 , 12.11 
SIMP.JK,Salim Ivomas Pratama Tbk PT,Indonesia, 0.36 , 0.41 , 0.48 , 0.57 , 0.66 
MTLA.JK,Metropolitan Land Tbk PT,Indonesia, 0.17 , 0.18 , 0.19 , 0.21 , 0.27 
PTIS.JK,Indo Straits Tbk PT,Indonesia,, -   , 0.27 , 0.33 , 0.39 
SDMU.JK,Sidomulyo Selaras Tbk PT,Indonesia, 2.56 , 0.74 , 38.20 ,, 19.57 
TIFA.JK,KDB Tifa Finance Tbk PT,Indonesia, 0.66 , 0.51 , 0.40 , 0.29 , 1.64 
ALDO.JK,Alkindo Naratama Tbk PT,Indonesia, 0.57 , 0.71 , 0.68 , 0.32 , 0.21 
STAR.JK,Buana Artha Anugerah Tbk PT,Indonesia, 0.00 , 0.00 , 0.00 , 0.00 , 0.00 
SMRU.JK,SMR Utama Tbk PT,Indonesia, 28.29 , 4.94 , 2.94 , 2.83 , 1.37 
SUPR.JK,Solusi Tunas Pratama Tbk PT,Indonesia, 0.28 , 0.45 , 0.78 , 2.18 , 4.12 
ARII.JK,Atlas Resources Tbk PT,Indonesia, 1.31 , 1.37 , 1.43 , 2.69 , 3.57 
GEMS.JK,Golden Energy Mines Tbk PT,Indonesia, 0.43 , 0.38 , 0.24 , 0.36 , 0.43 
VIVA.JK,Visi Media Asia Tbk PT,Indonesia,,,,, 15.96 
ABMM.JK,ABM Investama Tbk PT,Indonesia, 1.15 , 1.37 , 1.52 , 1.09 , 2.67 
CASS.JK,Cahaya Aero Services Tbk PT,Indonesia, 0.08 , 0.08 , 0.13 , 0.29 , 0.65 
ERAA.JK,PT Erajaya Swasembada Tbk,Indonesia, 0.72 , 0.81 , 0.67 , 0.34 , 0.40 
BAJA.JK,Saranacentral Bajatama Tbk PT,Indonesia, 7.43 , 3.34 , 3.84 , 1.49 , 0.96 
GWSA.JK,Greenwood Sejahtera Tbk PT,Indonesia, 0.05 , 0.08 , 0.08 , 0.05 , 0.05 
TELE.JK,Omni Inovasi Indonesia Tbk PT,Indonesia,,,,,
PADI.JK,Minna Padi Investama Sekuritas Tbk PT,Indonesia, 0.08 , 0.06 , 0.06 , 0.05 , 0.05 
ESSA.JK,ESSA Industries Indonesia Tbk PT,Indonesia, 0.17 , 0.32 , 0.51 , 1.57 , 1.44 
BEST.JK,Bekasi Fajar Industrial Estate Tbk PT,Indonesia, 0.29 , 0.33 , 0.38 , 0.38 , 0.41 
RANC.JK,Supra Boga Lestari Tbk PT,Indonesia, 1.15 , 1.47 , 1.00 , 0.90 , 0.45 
TRIS.JK,Trisula International Tbk PT,Indonesia, 0.34 , 0.33 , 0.35 , 0.36 , 0.51 
KOBX.JK,Kobexindo Tractors Tbk PT,Indonesia, 4.64 , 2.72 , 0.70 , 0.78 , 2.66 
MSKY.JK,MNC Sky Vision Tbk PT,Indonesia, 0.09 , 0.10 , 0.12 , 0.16 , 0.22 
TOBA.JK,TBS Energi Utama Tbk PT,Indonesia, 0.78 , 0.95 , 0.87 , 1.10 , 1.34 
ALTO.JK,Tri Banyan Tirta Tbk PT,Indonesia, 0.36 , 0.32 , 0.34 , 0.40 , 0.33 
GLOB.JK,Globe Kita Terang Tbk PT,Indonesia,,,,,
BJTM.JK,Bank Pembangunan Daerah Jawa Timur Tbk PT,Indonesia, 0.72 , 0.70 , 0.40 , 0.06 , 0.06 
GAMA.JK,Aksara Global Development Tbk PT,Indonesia, 0.12 , 0.12 , 0.20 , 0.20 , 0.24 
IBST.JK,Inti Bangun Sejahtera Tbk PT,Indonesia, 0.90 , 0.81 , 0.80 , 0.38 , 0.59 
NIRO.JK,City Retail Developments Tbk PT,Indonesia, 1.39 , 1.02 , 0.94 , 0.70 , 0.50 
SKBM.JK,Sekar Bumi Tbk PT,Indonesia, 0.56 , 0.52 , 0.57 , 0.64 , 0.52 
PALM.JK,Provident Investasi Bersama Tbk PT,Indonesia, 0.92 , 1.10 ,, -   , 0.01 
NELY.JK,Pelayaran Nelly Dwi Putri Tbk PT,Indonesia, 0.17 , 0.06 , 0.06 , 0.08 , 0.10 
TAXI.JK,Express Transindo Utama Tbk PT,Indonesia, -   ,,, -   ,
XIIT.JK,Premier ETF IDX30,Indonesia,,,,,
BSSR.JK,Baramulti Suksessarana Tbk PT,Indonesia, 0.01 , 0.02 , 0.04 , 0.06 , 0.05 
ASSA.JK,Adi Sarana Armada Tbk PT,Indonesia, 1.47 , 1.52 , 1.64 , 2.03 , 2.08 
WIIM.JK,Wismilak Inti Makmur Tbk PT,Indonesia, 0.22 , 0.02 , 0.01 , 0.01 , 0.02 
WSKT.JK,Waskita Karya (Persero) Tbk PT,Indonesia, 7.11 , 5.60 , 4.54 , 4.39 , 5.69 
SAME.JK,Sarana Meditama Metropolitan Tbk PT,Indonesia, 0.23 , 0.24 , 0.19 , 0.01 , 0.71 
