Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
AADI.JK,PT Adaro Andalan Indonesia Tbk,Indonesia,"8,475.00",,,,,"7,786,891,760.00","7,786,891,760.00","7,786,891,760.00","7,786,891,760.00",,"96,421,867,220,000.00","108,733,591,820,000.00","123,992,128,590,000.00","88,219,042,500,000.00",,"42,303,441,840,000.00","34,984,398,540,000.00","53,821,746,550,000.00","36,604,830,000,000.00",,18.0%,19.2%,51.9%,,
AALI.JK,Astra Agro Lestari Tbk PT,Indonesia,"6,200.00","7,025.00","8,025.00","9,500.00","12,325.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","1,924,688,333.00","28,793,225,000,000.00","28,846,243,000,000.00","29,249,340,000,000.00","30,399,906,000,000.00","27,781,231,000,000.00","5,591,163,000,000.00","6,280,237,000,000.00","7,006,119,000,000.00","9,228,733,000,000.00","8,533,437,000,000.00",5.9%,5.2%,8.1%,,5.3%
ABBA.JK,Mahaka Media Tbk PT,Indonesia,26.00,52.00,151.00,281.27,65.15,"3,935,892,857.00","3,935,892,857.00","3,935,892,857.00","3,467,572,431.85","3,467,572,431.85","242,927,394,937.00","271,136,485,860.00","388,884,533,390.00","524,632,899,688.00","221,650,737,019.00","356,643,915,558.00","376,928,581,607.00","359,466,191,290.00","359,762,454,698.00","325,359,955,177.00",4.8%,-14.1%,-6.0%,-9.0%,-14.4%
ABDA.JK,Asuransi Bina Dana Arta Tbk PT,Indonesia,"3,800.00","5,800.00","6,700.00","5,850.00","5,575.00","620,806,680.00","620,806,680.00","620,806,680.00","620,806,680.00","620,806,680.00","2,751,906,616,000.00","2,664,450,707,000.00","2,472,105,924,000.00","2,495,890,568,000.00","2,477,781,648,000.00","1,192,828,879,000.00","1,115,590,529,000.00","966,617,847,000.00","983,787,506,000.00","1,090,545,646,000.00",3.1%,3.3%,4.8%,7.7%,7.3%
ABFII.JK,Reksa Dana Abf Indonesia Bond,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,
ABMM.JK,ABM Investama Tbk PT,Indonesia,"3,540.00","3,400.00","3,280.00","1,420.00",760.00,"2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","2,753,165,000.00","33,715,816,276,180.00","33,202,210,143,525.00","30,858,835,348,660.00","14,773,034,265,750.00","11,614,409,993,160.00","20,083,484,999,540.00","21,518,529,486,560.00","21,247,116,703,285.00","9,687,364,348,500.00","9,343,452,011,400.00",7.3%,18.0%,28.8%,26.6%,-2.8%
ACES.JK,Aspirasi Hidup Indonesia Tbk PT,Indonesia,790.00,720.00,496.00,"1,280.00","1,715.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","17,120,389,700.00","8,191,411,810,234.00","7,794,495,253,759.00","7,328,729,306,800.00","7,171,138,470,214.00","7,247,063,894,294.00","1,679,077,942,666.00","1,570,107,181,450.00","1,312,184,243,636.00","1,592,158,192,660.00","2,024,821,339,896.00",13.6%,12.7%,11.3%,11.7%,13.3%
ACRO.JK,Samcro Hyosung Adilestari PT Tbk,Indonesia,109.00,,,,,"3,469,162,479.00","2,775,310,591.00","2,468,859,891.00","3,469,138,591.00","3,469,138,591.00","244,224,132,587.00","106,930,076,246.00","84,257,925,986.00","81,253,027,837.00","53,329,815,848.00","52,110,236,875.00","50,250,207,042.00","32,626,759,970.00","31,985,406,579.00","37,338,692,998.00",6.8%,7.6%,4.3%,4.8%,
